FILENAME, QUALITY
vK2bLRNzllXNeyOMudnNSL5cfpG2_counting-fast,2
bjA2KpSxneNskrLBeqi4bqoTDQl2_counting-fast,2
htQzROl26OWQpIYFDzv11F79PLR2_counting-fast,0
pW9mCAeWYiMoM7wW7riLvNRbYDO2_counting-fast,2
L7S8iIPKgiO6QWLC3mGkROCMa0s1_counting-fast,2
eP8gEM0KcBU6S5JpMdycX74KP3p2_counting-fast,2
UiUUhL0PMjWVA6W2dKte1DCE6wG2_counting-fast,0
QQbzKidDxHQ0eZFEL4uG68s1lc02_counting-fast,2
cfZUmZvsecYVKw5eSi4qIhfJVpI3_counting-fast,2
tiKv850hJFTmpCAvfJOmOOqkeUs1_counting-fast,0
LqGeCxef4fN4IPanKEbWkO1fAwJ3_counting-fast,2
XUsJp0qysAPtu3vBI0UCiHRJhZ22_counting-fast,2
eZ9KEu3fmEgvxINqgcbkBXoEsv53_counting-fast,2
TRK6gUseEUS7dbF0soG80W1uLm53_counting-fast,0
iq8oYXczSjPuJoVS7DBpkGNMC2p1_counting-fast,0
O4BFgxvAgwbwRGZMkMBJRFnGBbd2_counting-fast,2
nMIOAh7qRFf3pqbchclOLKbPDOm1_counting-fast,2
Pr79fov0a5TW5KPo0XACvIqMtO72_counting-fast,2
KL32QXSSnLZlRRT2B6rQQQKgpx12_counting-fast,1
tOlOwYDEHCRx1QegeMOPaydVcgv1_counting-fast,1
zvXkuEaPb0OEgG4EHx59NqdmamR2_counting-fast,0
9XKj7fAmvwPUas9GFPZuTpev7T03_counting-fast,0
l3umDXECeOUTZH8pFN19c2WM4m43_counting-fast,2
XVjp63ocWZRqJRdxCtklUfmdklm2_counting-fast,2
JmN2KXZoEThB2e8KFMbM7L4fOwy1_counting-fast,2
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2_counting-fast,0
2XgDqzQkqLX9SbmSHfbqdRxSmRD2_counting-fast,0
kIHldMnyvmXvpLq0LjWr7ecclSj2_counting-fast,2
U98J2q0NnycYzzUS2BYZpUa55X83_counting-fast,0
NWqfdBx5mrglkG4TJ5Gt9mVnYOo2_counting-fast,2
KGWBaTNrJmUgzGZw5Xh2ICSHVu92_counting-fast,2
mFQ65xqfxpXiS6vwK1HKwq7j8o62_counting-fast,0
n7ewrIqB7wUuK1FZGGjef18jtb52_counting-fast,2
qHN6U03r3TRKVZ83fmWDDQvtDuz1_counting-fast,2
w1TDsR75t5PsGyAksqF3kMQ6DXT2_counting-fast,2
maTMkkXbqOhLPOYLpGyMPPigDFt1_counting-fast,2
UV965HIG9saPO9HjKNFSm2aFeBt2_counting-fast,2
LwfZvk9xa6bAJbz4wQGEcyoDOmL2_counting-fast,2
V247RjX91RY4fxtgfeWjvBhg89s2_counting-fast,2
g6L8s5Dtq8eIYUTeRWHq0Q7w5L32_counting-fast,2
